iter	Logloss
0	0.5901429238
1	0.4954645001
2	0.4352038121
3	0.3917573896
4	0.3350613611
5	0.2957899091
6	0.2533325657
7	0.2275512931
8	0.1969771854
9	0.1760962738
10	0.170693834
11	0.1583419135
12	0.1504532125
13	0.1408393086
14	0.1360624004
15	0.1291341909
16	0.1258634462
17	0.1204550471
18	0.1164101171
19	0.1122809794
20	0.1047251897
21	0.1025930989
22	0.09882993849
23	0.09681881948
24	0.0946693583
25	0.09349154218
26	0.09243182494
27	0.08894174924
28	0.08682708768
29	0.08614790094
30	0.08548592953
31	0.08483785071
32	0.08403705147
33	0.08350651315
34	0.08219618427
35	0.08131352338
36	0.07952240406
37	0.07852429674
38	0.07755700765
39	0.07623710368
40	0.07557252349
41	0.07525113415
42	0.07459387045
43	0.07220072562
44	0.07059368659
45	0.07028357095
46	0.06936321265
47	0.06886614478
48	0.06867055216
49	0.06735388256
50	0.06667661279
51	0.06620014955
52	0.06594124928
53	0.06563993529
54	0.0656399352
55	0.06527855901
56	0.06487551889
57	0.06370213515
58	0.06296594043
59	0.0629376155
60	0.0626382168
61	0.06224480069
62	0.06176120756
63	0.06173811623
64	0.06116652487
65	0.06007127656
66	0.05972077195
